	entity	types	sum	rates
163	美餐	业务资产重组	15	1.0
216	索力鞋业	不能履职	12	1.0
72	腾邦集团	债务违约	24	1.0
175	SAC	交易违规	14	1.0
176	航锦科技	实际控制人变更	14	1.0
127	勤上光电	财务造假	17	1.0
126	金信基金	债务违约	17	1.0
182	斑马网络	业务资产重组	13	1.0
188	国购投资	债务违约	13	1.0
219	长安信托	债务违约	12	1.0
44	英大证券	业务资产重组	31	1.0
117	山西晋城无烟煤矿业集团有限责任公司	业务资产重组	18	1.0
116	麦德龙中国	实际控制人变更	18	1.0
115	中国石化	业务资产重组	18	1.0
113	晋煤集团	业务资产重组	18	1.0
190	北京信威	业务资产重组	13	1.0
105	中国城市建设控股集团有限公司	债务违约	19	1.0
139	厦门国贸	股票转让-股权受让	15	1.0
101	华阳经贸	债务违约	19	1.0
96	武钢集团	业务资产重组	20	1.0
90	浙江吉利汽车研究院有限公司	商业信息泄露	21	1.0
198	国电电力	业务资产重组	12	1.0
200	北京华录百纳影视股份有限公司	实际控制人变更	12	1.0
85	网信证券	债务违约	22	1.0
209	新光集团	债务违约	12	1.0
83	中天金融集团股份有限公司	业务资产重组	22	1.0
202	南京音飞储存设备(集团)股份有限公司	业务资产重组	12	1.0
208	博敏电子	财务造假	12	1.0
80	广州越秀金融控股集团股份有限公司	业务资产重组	22	1.0
67	湘财证券	业务资产重组	24	1.0
207	中国神华	业务资产重组	12	1.0
75	北京信威科技集团股份有限公司	业务资产重组	23	1.0
136	清新环境	实际控制人变更	16	1.0
224	吉利汽车	商业信息泄露	12	1.0
171	乐体运动	业务资产重组	15	1.0
156	KMOSE刻米	业务资产重组	15	1.0
154	工银投资	股票转让-股权受让	15	1.0
167	RainSmile雨乐	业务资产重组	15	1.0
236	昆钢	业务资产重组	11	1.0
153	奥秘之家	业务资产重组	15	1.0
168	译牛科技	业务资产重组	15	1.0
149	冰青	业务资产重组	15	1.0
232	八钢	业务资产重组	11	1.0
141	首钢	业务资产重组	15	1.0
231	艺条龙	涉嫌非法集资	11	1.0
166	云圣智能	业务资产重组	15	1.0
18	广州证券股份有限公司	业务资产重组	57	1.0
148	保利集团	业务资产重组	15	1.0
20	我爱我家控股集团股份有限公司	业务资产重组	53	1.0
147	智元汇	业务资产重组	15	1.0
230	通钢	业务资产重组	11	1.0
169	博链财经	业务资产重组	15	1.0
159	派知教育	业务资产重组	15	1.0
25	facebook	商业信息泄露	42	1.0
145	禾肽	业务资产重组	15	1.0
144	新办管家	业务资产重组	15	1.0
143	智租出行	业务资产重组	15	1.0
170	艾利特机器人	业务资产重组	15	1.0
227	柳钢	业务资产重组	11	1.0
226	中国电子	业务资产重组	12	1.0
161	网易云音乐	业务资产重组	15	1.0
17	康美	财务信息造假	57	0.9824561403508771
5	恒大地产	业务资产重组	135	0.9777777777777777
24	洛娃集团	债务违约	43	0.9767441860465116
4	安信信托	债务违约	200	0.975
2	广州证券	业务资产重组	315	0.9746031746031746
50	金隅集团	业务资产重组	30	0.9666666666666667
53	600030	业务资产重组	29	0.9655172413793104
61	瑞银集团	交易违规	26	0.9615384615384616
59	赛雅公司	涉嫌非法集资	26	0.9615384615384616
73	中安民生养老服务有限公司	涉嫌非法集资	24	0.9583333333333334
79	然健环球	涉嫌传销	22	0.9545454545454546
82	宝钢集团	业务资产重组	22	0.9545454545454546
88	中船集团	业务资产重组	21	0.9523809523809523
6	我爱我家	业务资产重组	125	0.952
97	浙江吉利控股集团有限公司	商业信息泄露	20	0.95
14	中泰证券	债务违约	60	0.95
109	东海证券	债务违约	19	0.9473684210526315
100	北京中安民生资产管理有限公司	涉嫌非法集资	19	0.9473684210526315
112	明牌珠宝	不能履职	18	0.9444444444444444
9	中江信托	债务违约	70	0.9428571428571428
32	山东龙力生物科技股份有限公司	债务违约	35	0.9428571428571428
122	云集品	涉嫌传销	17	0.9411764705882353
35	宝钢	业务资产重组	34	0.9411764705882353
130	宝钢股份	业务资产重组	17	0.9411764705882353
133	金鹰基金	实际控制人变更	16	0.9375
21	越秀金控	业务资产重组	48	0.9375
41	北大医药	交易违规	31	0.9354838709677419
47	*ST大地	财务造假	30	0.9333333333333333
160	融资城	涉嫌非法集资	15	0.9333333333333333
155	TCL	业务资产重组	15	0.9333333333333333
172	北汽集团	股票转让-股权受让	15	0.9333333333333333
52	苏宁易购	股票转让-股权受让	29	0.9310344827586207
54	中泰信托	债务违约	28	0.9285714285714286
179	北汽	股票转让-股权受让	14	0.9285714285714286
177	大连机床	债务违约	14	0.9285714285714286
10	光大证券	交易违规	66	0.9242424242424242
184	万达电影	业务资产重组	13	0.9230769230769231
189	日照港	实际控制人变更	13	0.9230769230769231
183	爱奇艺	业务资产重组	13	0.9230769230769231
191	天津天海投资发展股份有限公司	业务资产重组	13	0.9230769230769231
185	海虹企业(控股)股份有限公司	实际控制人变更	13	0.9230769230769231
192	国付宝	实际控制人变更	13	0.9230769230769231
194	贝店	涉嫌传销	13	0.9230769230769231
195	安利	涉嫌传销	13	0.9230769230769231
187	同益实业	债务违约	13	0.9230769230769231
66	ST康美	财务信息造假	25	0.92
210	东莞证券	债务违约	12	0.9166666666666666
203	中粮地产(集团)股份有限公司	业务资产重组	12	0.9166666666666666
217	万润科技	实际控制人变更	12	0.9166666666666666
201	湖南方盛制药股份有限公司	业务资产重组	12	0.9166666666666666
71	山东赛雅服饰有限公司	涉嫌非法集资	24	0.9166666666666666
212	广弘控股	实际控制人变更	12	0.9166666666666666
222	金诚集团	涉嫌非法集资	12	0.9166666666666666
34	天狮	涉嫌传销	35	0.9142857142857143
76	物美	股票转让-股权受让	23	0.9130434782608695
234	中百集团	实控人股东变更	11	0.9090909090909091
229	暴风集团股份有限公司	实际控制人涉诉仲裁	11	0.9090909090909091
233	上海宏达矿业股份有限公司	实际控制人变更	11	0.9090909090909091
237	西宁特殊钢股份有限公司	业务资产重组	11	0.9090909090909091
77	花生日记	涉嫌传销	22	0.9090909090909091
19	欣泰电气	财务造假	54	0.9074074074074074
46	武钢	业务资产重组	31	0.9032258064516129
95	山东源大工贸有限公司	涉嫌非法集资	20	0.9
7	陕西坚瑞沃能股份有限公司	债务违约	117	0.8974358974358975
108	北京银行	交易违规	19	0.8947368421052632
104	黄河旋风	业务资产重组	19	0.8947368421052632
3	康美药业	财务信息造假	230	0.8913043478260869
110	闰土股份	不能履职	18	0.8888888888888888
114	广东云联惠网络科技有限公司	涉嫌传销	18	0.8888888888888888
8	精功集团	债务违约	115	0.8869565217391304
63	莱商银行	财务信息造假	26	0.8846153846153846
128	佛山照明	交易违规	17	0.8823529411764706
120	华融普银	涉嫌非法集资	17	0.8823529411764706
64	海联讯	财务造假	25	0.88
26	中信证券股份有限公司	业务资产重组	41	0.8780487804878049
28	沈阳机床	债务违约	41	0.8780487804878049
138	华铁科技	实际控制人变更	16	0.875
29	中弘控股股份有限公司	债务违约	39	0.8717948717948718
45	泛海控股	业务资产重组	31	0.8709677419354839
74	英大信托	业务资产重组	23	0.8695652173913043
162	钱贷网	涉嫌非法集资	15	0.8666666666666667
49	善心汇	涉嫌传销	30	0.8666666666666667
165	中绿	涉嫌传销	15	0.8666666666666667
152	云集微店	涉嫌传销	15	0.8666666666666667
150	苏州扬子江新型材料股份有限公司	业务资产重组	15	0.8666666666666667
55	TCL集团	业务资产重组	28	0.8571428571428571
91	招商局集团	业务资产重组	21	0.8571428571428571
181	明星电缆	不能履职	14	0.8571428571428571
99	远望谷	不能履职	20	0.85
196	海南航空控股股份有限公司	业务资产重组	13	0.8461538461538461
37	源大公司	涉嫌非法集资	32	0.84375
107	天津天狮生物发展有限公司	涉嫌传销	19	0.8421052631578947
103	安徽钰诚控股集团	涉嫌非法集资	19	0.8421052631578947
23	酒鬼酒	资金账户风险	44	0.8409090909090909
205	鹏起科技发展股份有限公司	业务资产重组	12	0.8333333333333334
221	三鼎控股	债务违约	12	0.8333333333333334
211	超日太阳	不能履职	12	0.8333333333333334
206	绿大地	财务造假	12	0.8333333333333334
225	翠微股份	重组失败	12	0.8333333333333334
197	宝马	股票转让-股权受让	12	0.8333333333333334
223	云在指尖	涉嫌传销	12	0.8333333333333334
213	华泰联合证券	业务资产重组	12	0.8333333333333334
220	宝象金融	涉嫌非法集资	12	0.8333333333333334
119	河北华林	涉嫌传销	18	0.8333333333333334
69	金螳螂	不能履职	24	0.8333333333333334
124	兴业银行	不能履职	17	0.8235294117647058
22	精功集团有限公司	债务违约	45	0.8222222222222222
84	成飞集成	重组失败	22	0.8181818181818182
228	紫光古汉	财务造假	11	0.8181818181818182
36	华业资本	债务违约	33	0.8181818181818182
235	河南中金珠宝股份有限公司	涉嫌非法集资	11	0.8181818181818182
56	佰亿猫	涉嫌非法集资	27	0.8148148148148148
137	车智汇	涉嫌传销	16	0.8125
39	深圳美丽生态股份有限公司	债务违约	32	0.8125
135	天狮生物发展有限公司	涉嫌传销	16	0.8125
134	尚赫	涉嫌传销	16	0.8125
11	华林	涉嫌传销	64	0.8125
42	快鹿	涉嫌非法集资	31	0.8064516129032258
33	快鹿集团	涉嫌非法集资	35	0.8
48	银亿股份	债务违约	30	0.8
94	通用	股票转让-股权受让	20	0.8
164	方大集团	不能履职	15	0.8
157	中粮	业务资产重组	15	0.8
151	新时代证券	业务资产重组	15	0.8
70	深圳普银区块链集团有限公司	涉嫌非法集资	24	0.7916666666666666
13	华林公司	涉嫌传销	62	0.7903225806451613
106	钰诚国际控股集团有限公司	涉嫌非法集资	19	0.7894736842105263
178	山河智能	实际控制人变更	14	0.7857142857142857
38	中天金融	业务资产重组	32	0.78125
30	天津天狮	涉嫌传销	36	0.7777777777777778
16	万福生科	财务造假	58	0.7758620689655172
86	华菱钢铁	业务资产重组	22	0.7727272727272727
78	金贵银业	业务资产重组	22	0.7727272727272727
31	中联重科	财务造假	35	0.7714285714285715
193	天狮公司	涉嫌传销	13	0.7692307692307693
186	铜陵有色	不能履职	13	0.7692307692307693
51	晋商贷	涉嫌非法集资	30	0.7666666666666667
129	脸书	商业信息泄露	17	0.7647058823529411
121	安捷财富	涉嫌非法集资	17	0.7647058823529411
93	宏图高科	债务违约	21	0.7619047619047619
92	三胞集团	债务违约	21	0.7619047619047619
218	平安银行	债务违约	12	0.75
215	露笑科技	交易违规	12	0.75
214	悦花越有	涉嫌传销	12	0.75
132	财富中国	涉嫌非法集资	16	0.75
204	意隆财富	失联跑路	12	0.75
98	上海新梅	实控人股东变更	20	0.75
199	ST宏盛	重组失败	12	0.75
15	天翔环境	债务违约	59	0.7457627118644068
40	金亚科技	财务造假	31	0.7419354838709677
43	东方银星	实控人股东变更	31	0.7419354838709677
58	凯迪生态	债务违约	27	0.7407407407407407
57	i财富	涉嫌非法集资	27	0.7407407407407407
102	智佳金服	涉嫌非法集资	19	0.7368421052631579
1	中信证券	业务资产重组	365	0.7342465753424657
142	江苏三友	财务造假	15	0.7333333333333333
140	武昌鱼	重组失败	15	0.7333333333333333
158	莱茵体育	实际控制人变更	15	0.7333333333333333
146	海润光伏	交易违规	15	0.7333333333333333
27	无限极	涉嫌传销	41	0.7317073170731707
62	中航善达	业务资产重组	26	0.7307692307692307
60	深圳投之家金融信息服务有限公司	涉嫌非法集资	26	0.7307692307692307
81	瑞银	交易违规	22	0.7272727272727273
0	权健	涉嫌传销	641	0.7238689547581904
111	江南嘉捷电梯股份有限公司	业务资产重组	18	0.7222222222222222
118	天龙光电	实控人股东变更	18	0.7222222222222222
65	东虹桥小贷公司	涉嫌非法集资	25	0.72
173	天宝食品	债务违约	14	0.7142857142857143
174	南风股份	不能履职	14	0.7142857142857143
180	蜀桑源	涉嫌非法集资	14	0.7142857142857143
87	国海证券股份有限公司	实际控制人变更	21	0.7142857142857143
89	长园集团	实控人股东变更	21	0.7142857142857143
12	吉利	商业信息泄露	63	0.7142857142857143
68	东虹桥担保公司	涉嫌非法集资	24	0.7083333333333334
131	置信电气	股票转让-股权受让	17	0.7058823529411765
123	金通灵	实际控制人变更	17	0.7058823529411765
125	信达投资	股票转让-股权受让	17	0.7058823529411765
